ID,age,gender,race,zip,StartDate,duration,pass_check,response,querytype,weather_cond,location_cond,condition
58,37,Man,Black or African American,14621,2021-05-11T10:51:12Z,728,1,0.6,A,coldrainy,london,coldrainy_london
59,30,Man,White,19702,2021-05-11T10:37:26Z,1588,1,0.7,A,coldrainy,london,coldrainy_london
60,59,Woman,White,64012,2021-05-11T10:50:21Z,969,1,0.8,A,coldrainy,london,coldrainy_london
61,39,Woman,White,32034,2021-05-11T11:02:55Z,377,1,0.3,A,coldrainy,london,coldrainy_london
62,28,Man,Black or African American,60005,2021-05-11T11:02:33Z,425,1,0.5,A,coldrainy,london,coldrainy_london
63,66,Woman,White,98597,2021-05-11T10:59:49Z,837,1,0.6,A,coldrainy,london,coldrainy_london
64,59,Woman,White,28374,2021-05-11T10:46:10Z,1763,1,0.7,A,coldrainy,london,coldrainy_london
65,51,Woman,Black or African American,23225,2021-05-11T11:07:08Z,1008,1,0.5,A,coldrainy,london,coldrainy_london
66,39,Woman,White,53029,2021-05-11T11:19:26Z,519,1,0.5,A,coldrainy,london,coldrainy_london
67,28,Man,Native Hawaiian or Pacific Islander,92844,2021-05-11T11:22:25Z,497,1,0.5,A,coldrainy,london,coldrainy_london
68,39,Woman,White,14450,2021-05-11T11:18:39Z,736,1,0.3,A,coldrainy,london,coldrainy_london
69,49,Man,White,44092,2021-05-11T11:25:18Z,728,1,0.6,A,coldrainy,london,coldrainy_london
70,33,Woman,White,84404,2021-05-11T11:26:27Z,939,1,0.5,A,coldrainy,london,coldrainy_london
71,35,Woman,White,68134,2021-05-11T11:27:05Z,976,1,0.5,A,coldrainy,london,coldrainy_london
72,40,Man,White,15332,2021-05-11T11:27:56Z,978,1,0.4,A,coldrainy,london,coldrainy_london
73,40,Man,White,NA,2021-05-11T11:50:24Z,521,1,0.6,A,coldrainy,london,coldrainy_london
74,30,Woman,White,04950,2021-05-11T11:44:02Z,951,1,0.4,A,coldrainy,london,coldrainy_london
75,24,Man,White,90011,2021-05-11T12:06:00Z,183,1,0.7,A,coldrainy,london,coldrainy_london
76,42,Woman,Asian,47201,2021-05-11T11:53:55Z,1231,1,0.6,A,coldrainy,london,coldrainy_london
77,30,Woman,White,23830,2021-05-11T11:42:47Z,1982,1,0.5,A,coldrainy,london,coldrainy_london
78,33,Man,White,33180,2021-05-11T12:12:36Z,611,1,0.9,A,coldrainy,london,coldrainy_london
79,27,Man,White,73071,2021-05-11T12:12:01Z,737,1,0.5,A,coldrainy,london,coldrainy_london
80,51,Woman,Black or African American,78109,2021-05-11T12:18:57Z,538,1,0.3,A,coldrainy,london,coldrainy_london
81,44,Man,White,49770,2021-05-11T12:19:33Z,841,1,0.4,A,coldrainy,london,coldrainy_london
82,31,Man,Black or African American,29556,2021-05-11T12:21:40Z,723,1,0.4,A,coldrainy,london,coldrainy_london
83,30,Man,White,19611,2021-05-11T12:04:15Z,2290,1,0.8,A,coldrainy,london,coldrainy_london
84,27,Man,White,34470,2021-05-11T12:50:47Z,434,1,0.5,A,coldrainy,london,coldrainy_london
85,33,Woman,White,30024,2021-05-11T12:50:17Z,507,1,0.4,A,coldrainy,london,coldrainy_london
86,30,Man,White,33023,2021-05-11T12:49:38Z,1850,1,0.6,A,coldrainy,london,coldrainy_london
87,62,Man,White,97402,2021-05-11T13:15:52Z,615,1,0.6,A,coldrainy,london,coldrainy_london
88,47,Man,Black or African American,32765,2021-05-11T13:17:19Z,999,1,0.3,A,coldrainy,london,coldrainy_london
89,40,Woman,Black or African American,NA,2021-05-11T14:00:30Z,1828,1,0.5,A,coldrainy,london,coldrainy_london
90,39,Woman,White,44907,2021-05-11T14:20:08Z,1122,1,0.4,A,coldrainy,london,coldrainy_london
91,63,Woman,White,46220,2021-05-11T14:12:09Z,1773,1,0.6,A,coldrainy,london,coldrainy_london
92,37,Man,White,10001,2021-05-11T14:40:39Z,716,1,0.8,A,coldrainy,london,coldrainy_london
93,46,Woman,White,85302,2021-05-11T16:00:00Z,841,1,0.4,A,coldrainy,london,coldrainy_london
0,53,Man,White,72088,2021-05-10T13:52:06Z,617,1,0.7,B,coldrainy,london,coldrainy_london
1,27,Woman,White,28390,2021-05-10T13:59:41Z,1075,1,0.4,B,coldrainy,london,coldrainy_london
2,28,Man,White,10956,2021-05-10T14:12:27Z,543,1,0.1,B,coldrainy,london,coldrainy_london
3,32,Man,White,56187,2021-05-10T14:15:45Z,805,1,0.4,B,coldrainy,london,coldrainy_london
4,31,Man,White,66021,2021-05-10T14:22:09Z,491,1,0.6,B,coldrainy,london,coldrainy_london
5,25,Woman,White,20602,2021-05-10T14:01:21Z,3221,1,0.5,B,coldrainy,london,coldrainy_london
6,61,Woman,White,33603,2021-05-10T14:22:40Z,1994,1,0.6,B,coldrainy,london,coldrainy_london
7,28,Man,Asian,20850,2021-05-10T14:44:53Z,1146,1,0.3,B,coldrainy,london,coldrainy_london
